,sentence
115,"Bos output: ['Die ältesten Werke wurden Sanskrit, Pali Tamil verfasst', ' Zu herausragendsten Sanskrit-Werken gehören Veden 13', ' 5', ' Jahrhundert v', ' Chr', ', Upanishaden sowie beiden großen Epen Mahabharata Ramayana', ' Sie mythologisch-religiöse Themen Hinduismus Inhalt', ' Darüber hinaus entstanden viele bedeutende Werke verschiedensten Gebieten, etwa Religion, Philosophie, Staatskunst Wissenschaft', ' Mit Aufstieg Buddhismus ab 5', ' vorchristlichen Jahrhundert wurde Pali bedeutenden Literatursprache, Schriften Theravada-Buddhismus hervorbrachte'] ### Input: Die ältesten Werke wurden in Sanskrit, Pali und Tamil verfasst. Zu den herausragendsten Sanskrit-Werken gehören die Veden aus dem 13. bis 5. Jahrhundert v. Chr., die Upanishaden sowie die beiden großen Epen Mahabharata und Ramayana. Sie haben mythologisch-religiöse Themen des Hinduismus zum Inhalt. Darüber hinaus entstanden viele andere bedeutende Werke auf den verschiedensten Gebieten, etwa Religion, Philosophie, Staatskunst und Wissenschaft. Mit dem Aufstieg des Buddhismus ab dem 5. vorchristlichen Jahrhundert wurde Pali zu einer bedeutenden Literatursprache, die unter anderem die Schriften des Theravada-Buddhismus hervorbrachte. EOS"
116,Bos output: ['Der außerhalb römischen Provinzen Germania Inferior Germania Superior liegende Teil Siedlungsgebiets Germanen wurde Römern frühen hohen Kaiserzeit Spätantike Germania magna bezeichnet'] ### Input: Der außerhalb der römischen Provinzen Germania Inferior und Germania Superior liegende Teil des Siedlungsgebiets der Germanen wurde von den Römern in der frühen und hohen Kaiserzeit und in der Spätantike als Germania magna bezeichnet. EOS
117,"Bos output: ['Behindert Wachstum Produktion indischen Wirtschaft insbesondere Mängel vielfach veralteten Infrastruktur, Engpässe Energieversorgung, häufigen Stromausfällen führen', ' Trotz 1991 begonnenen Liberalisierung Wirtschaft leiden Industrie Bankensektor häufigen staatlichen Eingriffen langsamen politischen Entscheidungsprozessen', ' Der Schutz ineffizienter Staatsunternehmen Wettbewerb bleibt Hemmschuh', ' Ein Belastungsfaktor weitverbreitete Korruption', ' Zudem beeinträchtigen Arbeitsmarktregulierungen, Beispiel Entlassungen Arbeitskräften stark erschweren, Investitionsklima', ' Ausländische Investoren abgeschreckt', ' Indien verliert zudem große Zahl qualifizierten Arbeitskräften Ausland ', ' Andererseits größte Profiteur Auslandsrücküberweisungen Emigranten Welt', ' 2016 betrugen 62,7 Milliarden US$ trugen knapp 3 % Wirtschaftsleistung bei'] ### Input: Behindert wird das Wachstum der Produktion der indischen Wirtschaft insbesondere durch Mängel der vielfach veralteten Infrastruktur, vor allem durch Engpässe bei der Energieversorgung, die zu häufigen Stromausfällen führen. Trotz der 1991 begonnenen Liberalisierung der Wirtschaft leiden vor allem die Industrie und der Bankensektor nach wie vor unter häufigen staatlichen Eingriffen und den langsamen politischen Entscheidungsprozessen. Der Schutz ineffizienter Staatsunternehmen vor Wettbewerb bleibt ein Hemmschuh. Ein Belastungsfaktor ist auch die weitverbreitete Korruption. Zudem beeinträchtigen nach wie vor Arbeitsmarktregulierungen, die zum Beispiel Entlassungen von Arbeitskräften stark erschweren, das Investitionsklima. Ausländische Investoren werden so abgeschreckt. Indien verliert zudem eine große Zahl von qualifizierten Arbeitskräften ins Ausland . Andererseits ist es der größte Profiteur von Auslandsrücküberweisungen von Emigranten auf der Welt. 2016 betrugen sie 62,7 Milliarden US$ und trugen damit knapp 3 % der Wirtschaftsleistung bei. EOS"
118,"Bos output: ['In deutschen Kolonien Togo, Kamerun, Deutsch-Südwestafrika, Deutsch-Ostafrika Südseegebieten existierten ca', ' 1890 1914/15 Kolonialpolizeien, Regel afrikanischen Polizisten Unteroffizieren deutschen bzw', ' europäischen Offizieren Unteroffizieren zusammensetzten', ' In Deutsch-Ostafrika wurden afrikanischen Polizisten Askaris bezeichnet', ' Eine Sonderstellung nahm 1907 gegründete Kaiserliche Landespolizei Südwestafrika ein, praktisch ausschließlich europäischen Unteroffizieren Offizieren zusammensetzte ersten Mal deutschen Polizeigeschichte Funktionen Gendarmerie Kommunalpolizei zusammengefasst wurden', ' 1914 besaßen Polizeitruppen Gesamtstärke ca', ' 5000 Mann', ' In Kiautschou existierte besondere Chinesenpolizei, chinesischen Bevölkerungsteil zuständig war', ' Im Zuge Ersten Weltkriegs wurden Polizeieinheiten aufgelöst'] ### Input: In den deutschen Kolonien Togo, Kamerun, Deutsch-Südwestafrika, Deutsch-Ostafrika und den Südseegebieten existierten von ca. 1890 bis 1914/15 Kolonialpolizeien, die sich in der Regel aus afrikanischen Polizisten und Unteroffizieren und deutschen bzw. europäischen Offizieren und Unteroffizieren zusammensetzten. In Deutsch-Ostafrika wurden die afrikanischen Polizisten als Askaris bezeichnet. Eine Sonderstellung nahm die 1907 gegründete Kaiserliche Landespolizei für Südwestafrika ein, die sich praktisch ausschließlich aus europäischen Unteroffizieren und Offizieren zusammensetzte und in der zum ersten Mal in der deutschen Polizeigeschichte die Funktionen der Gendarmerie und Kommunalpolizei zusammengefasst wurden. 1914 besaßen diese Polizeitruppen eine Gesamtstärke von ca. 5000 Mann. In Kiautschou existierte eine besondere Chinesenpolizei, die nur für den chinesischen Bevölkerungsteil zuständig war. Im Zuge des Ersten Weltkriegs wurden diese Polizeieinheiten aufgelöst. EOS"
119,"Bos output: ['Zuständig innere Sicherheit Bundesrepublik aufgrund Föderalismus Deutschland grundsätzlich Bundesländer insbesondere Landespolizeien Landeskriminalämter', ' Innerhalb Polizei häufig unterschieden Schutzpolizei, Bereitschaftspolizei, Kriminalpolizei, Spezialeinheiten Mobilen Einsatzkommando ) sowie Ordnungsbehörden', ' Zur Wahrung öffentlichen Ordnung zusätzlich Kommunen Ordnungsämter unterstützt'] ### Input: Zuständig für die innere Sicherheit der Bundesrepublik sind aufgrund des Föderalismus in Deutschland grundsätzlich die Bundesländer und damit insbesondere die Landespolizeien und Landeskriminalämter. Innerhalb der Polizei wird häufig weiter unterschieden zwischen Schutzpolizei, Bereitschaftspolizei, Kriminalpolizei, Spezialeinheiten oder dem Mobilen Einsatzkommando ) sowie den Ordnungsbehörden. Zur Wahrung der öffentlichen Ordnung werden diese zusätzlich in einigen Kommunen durch Ordnungsämter unterstützt. EOS"
120,"Bos output: ['Das deutsche Gesundheitswesen hoch entwickelt, niedrige Rate Säuglingssterblichkeit etwa 3,5 Jungen 3,0 Mädchen 1000 Geburten hohe Lebenserwartung deutlich machen, Jahr 2016 78,2 Jahren Männer 83,1 Frauen lag', ' Dabei 2015 arme Männer Lebenserwartung 70,1, wohlhabende 80,9 Jahren ', ' 2015 ergab Studie OECD, Patienten Deutschland hätten kurze Wartezeiten, geringen eigenen Finanzaufwand Auswahl', ' Die Vorbeugung sei hingegen verbesserungswürdig, hohe Zahl Krankheiten Herz-Kreislauf-Erkrankungen Diabetes zeige', ' Die Qualität zeige dadurch, Schlaganfall häufig überlebt werde', ' Die Zahl Krankenhausaufenthalten Operationen liege international Spitzengruppe, Kosten Medikamente; 2013 machten Gesundheitsausgaben 11 Prozent BIP '] ### Input: Das deutsche Gesundheitswesen ist hoch entwickelt, wie die sehr niedrige Rate der Säuglingssterblichkeit von etwa 3,5 Jungen und 3,0 Mädchen bei 1000 Geburten und eine hohe Lebenserwartung deutlich machen, die im Jahr 2016 bei 78,2 Jahren für Männer und bei 83,1 für Frauen lag. Dabei hatten 2015 arme Männer eine Lebenserwartung von 70,1, wohlhabende von 80,9 Jahren . 2015 ergab eine Studie der OECD, Patienten in Deutschland hätten kurze Wartezeiten, geringen eigenen Finanzaufwand und viel Auswahl. Die Vorbeugung sei hingegen verbesserungswürdig, was eine hohe Zahl von Krankheiten wie Herz-Kreislauf-Erkrankungen und Diabetes zeige. Die Qualität zeige sich aber unter anderem dadurch, dass ein Schlaganfall häufig überlebt werde. Die Zahl an Krankenhausaufenthalten und Operationen liege international in der Spitzengruppe, aber auch die Kosten für Medikamente; 2013 machten die Gesundheitsausgaben 11 Prozent des BIP aus . EOS"
121,Bos output: ['Beispiele Surface-Geräte Microsoft'] ### Input: Beispiele sind die Surface-Geräte von Microsoft. EOS
122,"Bos output: ['Die mittlere Jahresdurchschnittstemperatur, bezogen Normalperiode 1961–1990, beträgt bundesweiten Gebietsmittel 8,2 °C, mittleren Monatsdurchschnittstemperaturen liegen −0,5 °C Januar 16,9 °C Juli', ' Der mittlere jährliche Niederschlag beträgt 789 Millimeter', ' Die mittlere monatliche Niederschlagshöhe liegt 49 Millimeter Februar 85 Millimeter Juni'] ### Input: Die mittlere Jahresdurchschnittstemperatur, bezogen auf die Normalperiode 1961–1990, beträgt im bundesweiten Gebietsmittel 8,2 °C, die mittleren Monatsdurchschnittstemperaturen liegen zwischen −0,5 °C im Januar und 16,9 °C im Juli. Der mittlere jährliche Niederschlag beträgt 789 Millimeter. Die mittlere monatliche Niederschlagshöhe liegt zwischen 49 Millimeter im Februar und 85 Millimeter im Juni. EOS"
123,"Bos output: ['In Deutschland Verdichtungs- Ballungsräume nicht statistisch genau abgegrenzt', ' Es gibt 81 Großstädte , davon 14 mehr 500', '000 Einwohnern, historisch bedingt überwiegend Westen Südwesten Deutschlands', ' Diese entlang Rheins verlaufenden Ballungsräume bilden Mittelteil zentralen europäischen Bevölkerungskonzentration ', ' Die meisten Agglomerationen monozentrisch, Ruhrgebiet hingegen Konurbation', ' Mit zahlreichen Zentren Deutschland, etwa Nachbarländer Österreich Hauptstadt Wien Dänemark Kopenhagen, Primatstadt', ' Trotz Vielzahl großer Städte lebte 31', ' Dezember 2020 weniger Drittel Einwohner Deutschlands Großstädten'] ### Input: In Deutschland werden Verdichtungs- und Ballungsräume nicht statistisch genau abgegrenzt. Es gibt 81 Großstädte , davon 14 mit mehr als 500.000 Einwohnern, historisch bedingt überwiegend im Westen und Südwesten Deutschlands. Diese entlang des Rheins verlaufenden Ballungsräume bilden den Mittelteil der zentralen europäischen Bevölkerungskonzentration . Die meisten Agglomerationen sind monozentrisch, das Ruhrgebiet hingegen ist eine Konurbation. Mit seinen zahlreichen Zentren hat Deutschland, anders als etwa die Nachbarländer Österreich mit seiner Hauptstadt Wien und Dänemark mit Kopenhagen, keine Primatstadt. Trotz der Vielzahl großer Städte lebte zum 31. Dezember 2020 etwas weniger als ein Drittel der Einwohner Deutschlands in Großstädten. EOS"
124,"Bos output: ['Im Rahmen Reunionspolitik führte Ludwig XIV', ' Pfälzischen Erbfolgekrieg', ' Frankreich wirkte Vorbild Absolutismus, Reich nicht königliche Zentralgewalt, einzelne Fürstentümer bürokratisch organisierten Staaten ließ', ' Manche Herrscher, insbesondere Friedrich II', ' Preußen, öffneten philosophischen Zeitgeist führten Reformen ', ' Der politische Aufstieg Preußens 18', ' Jahrhundert führte Dualismus Hause Habsburg', ' Nach Französischen Revolution besetzten deren Truppen linke Rheinufer', ' Nach Sieg Napoleon Bonapartes Zweiten Koalitionskrieg kam 1803 Reichsdeputationshauptschluss', ' 1806 legte letzte Kaiser Franz II', ' Krone nieder, womit Reich erlosch'] ### Input: Im Rahmen seiner Reunionspolitik führte Ludwig XIV. den Pfälzischen Erbfolgekrieg. Frankreich wirkte als Vorbild des Absolutismus, der im Reich nicht die königliche Zentralgewalt, sondern einzelne Fürstentümer zu bürokratisch organisierten Staaten werden ließ. Manche Herrscher, insbesondere Friedrich II. von Preußen, öffneten sich dem philosophischen Zeitgeist und führten Reformen durch . Der politische Aufstieg Preußens im 18. Jahrhundert führte zum Dualismus mit dem Hause Habsburg. Nach der Französischen Revolution besetzten deren Truppen das linke Rheinufer. Nach dem Sieg Napoleon Bonapartes im Zweiten Koalitionskrieg kam es 1803 zum Reichsdeputationshauptschluss. 1806 legte der letzte Kaiser Franz II. die Krone nieder, womit das Reich erlosch. EOS"
125,"Bos output: ['Der Bundeskanzler bestimmt Anzahl Kompetenzbereich Ministerien Minister', ' Meist legen Parteien Koalitionsverhandlungen Leitlinien fest bestimmen Minister Staatssekretäre personell', ' Zurzeit existieren 14 Bundesministerien'] ### Input: Der Bundeskanzler bestimmt Anzahl und Kompetenzbereich der Ministerien und die Minister. Meist legen die Parteien in den Koalitionsverhandlungen die Leitlinien fest und bestimmen Minister und Staatssekretäre personell. Zurzeit existieren 14 Bundesministerien. EOS"
126,"Bos output: ['Konkret Zeit Ende 2018 Ende 2021 bezogen nahm Bevölkerung meisten Städten mehr 200', '000 Einwohnern zu', ' Ausnahmen hiervon Städte Ruhrgebiet, Grund dortigen Großstadtdichte höhere zentralörtliche Funktion Umland übernehmen, Städte Karlsruhe Bremen sowie Magdeburg Chemnitz, Rückgang Einwohnerzahlen gegenüber Zeit Wiedervereinigung deutlich verlangsamt hat', ' Großräume erhöhtem Bevölkerungswachstum Regionen Berlin, Hamburg, Frankfurt München, Zuwachs übrigen Städten meist Kernstadt beschränkte ', ' Ländliche Regionen neuen Ländern verloren 5 % Bevölkerung binnen drei Jahren, besonders betroffen Landesinnere Mecklenburg-Vorpommerns, periphere Teile Brandenburgs, sowie große Teile Sachsen-Anhalts, Thüringens Sachsens', ' In alten Bundesländern schrumpfte Bevölkerung Weserbergland, Südniedersachsen, Westerwald, Sauerland, Oberfranken sowie Saarland Westpfalz'] ### Input: Konkret auf die Zeit zwischen Ende 2018 und Ende 2021 bezogen nahm die Bevölkerung in den meisten Städten mit mehr als 200.000 Einwohnern weiter zu. Ausnahmen hiervon sind einige Städte im Ruhrgebiet, die auf Grund der dortigen Großstadtdichte keine höhere zentralörtliche Funktion für ihr Umland übernehmen, Städte wie Karlsruhe und Bremen sowie Magdeburg und Chemnitz, wo sich der Rückgang der Einwohnerzahlen gegenüber der Zeit nach der Wiedervereinigung aber deutlich verlangsamt hat. Großräume mit erhöhtem Bevölkerungswachstum waren die Regionen Berlin, Hamburg, Frankfurt und München, während sich der Zuwachs in den übrigen Städten meist auf die Kernstadt beschränkte . Ländliche Regionen in den neuen Ländern verloren bis zu 5 % ihrer Bevölkerung binnen drei Jahren, besonders betroffen sind das Landesinnere Mecklenburg-Vorpommerns, periphere Teile Brandenburgs, sowie große Teile Sachsen-Anhalts, Thüringens und Sachsens. In den alten Bundesländern schrumpfte die Bevölkerung vor allem im Weserbergland, in Südniedersachsen, im Westerwald, im Sauerland, in Oberfranken sowie im Saarland und in der Westpfalz. EOS"
127,"Bos output: ['Dank Landschaftsvielfalt findet Indien äußerst artenreiche Tierwelt vor', ' Man schätzt, etwa 350 Säugetier-, 1200 Vogel-, 400 Reptilien- 200 Amphibienarten heimisch sind', ' Viele Arten kommen allerdings Rückzugsgebieten Wäldern, Sümpfen, Berg- Hügelländern vor', ' In indischen Gewässern leben zudem mehr 2500 Fischarten'] ### Input: Dank seiner Landschaftsvielfalt findet man in Indien eine äußerst artenreiche Tierwelt vor. Man schätzt, dass etwa 350 Säugetier-, 1200 Vogel-, 400 Reptilien- und 200 Amphibienarten dort heimisch sind. Viele Arten kommen allerdings nur noch in Rückzugsgebieten wie Wäldern, Sümpfen, Berg- und Hügelländern vor. In indischen Gewässern leben zudem mehr als 2500 Fischarten. EOS"
128,"Bos output: ['Die deutsche Polizei besteht Polizeibehörden Länder Bundes ', ' Aufgabe Aufrechterhaltung inneren Sicherheit', ' Dazu Polizei Polizeiverfügungen sonstige Maßnahmen deutschen Ländern Polizeiverordnungen Gefahren öffentliche Sicherheit teilweise öffentliche Ordnung abzuwehren ', ' Des Weiteren untersucht Polizei strafbare ordnungswidrige Handlungen , wobei Ermittlungen Art vorzunehmen Aufschub gestattenden Anordnungen trifft, Verdunklung Sache verhüten', ' Außerdem schützt Polizei private Rechte, falls gerichtlicher Schutz nicht rechtzeitig erlangen widrigenfalls Verwirklichung Rechts vereitelt wesentlich erschwert würde, nimmt sonstige Rechts wegen obliegende Aufgaben wahr'] ### Input: Die deutsche Polizei besteht aus den Polizeibehörden der Länder und des Bundes . Aufgabe ist die Aufrechterhaltung der inneren Sicherheit. Dazu hat die Polizei durch Polizeiverfügungen und sonstige Maßnahmen und in einigen deutschen Ländern auch durch Polizeiverordnungen Gefahren für die öffentliche Sicherheit und teilweise auch für die öffentliche Ordnung abzuwehren . Des Weiteren untersucht die Polizei strafbare und ordnungswidrige Handlungen , wobei sie Ermittlungen jeder Art vorzunehmen hat und alle keinen Aufschub gestattenden Anordnungen trifft, um die Verdunklung der Sache zu verhüten. Außerdem schützt die Polizei private Rechte, falls ein gerichtlicher Schutz nicht rechtzeitig zu erlangen ist und widrigenfalls die Verwirklichung des Rechts vereitelt oder wesentlich erschwert würde, und nimmt sonstige ihr von Rechts wegen obliegende Aufgaben wahr. EOS"
129,"Bos output: ['Im Hinduismus Tänze jeher wichtige Rolle gespielt, einerseits getanzte Version Gebetes, andererseits mythologische Themen darzustellen', ' So nicht verwunderlich, Indien ungeheure Vielfalt klassischen Tänzen, meist Züge Schauspiels tragen, herausgebildet hat', ' Der Tanz höchsten entwickelten Kunstformen Indiens', ' Oft kleinste Bewegungen Gesichtsausdrücke sinnbildliche Bedeutung', ' Klassische Tänze beruhen Regel literarischen Grundlagen', ' Unter klassischen Stilen ragt Bharatanatyam hervor, Ursprung tamilischer, heute ganz Indien geschätzter Einzeltanz', ' Ihm ähnlich Andhra Pradesh stammende Kuchipudi-Tanz, jedoch mehr schauspielerische Bestandteile hat', ' Eine ausdrucksstärksten Formen Tanztheaters entstand Kerala Männern ausgeübten Kathakali', ' Mohiniyattam, Fraueneinzeltanz, stammt ebenfalls Kerala', ' Odissi klassische Tempeltanz Odishas', ' Auch nordindische Kathak ursprünglich Tempeltanz, Mogulherrschern islamischen Einflüssen ausgesetzt höfischen Tanz entwickelte', ' Der Manipuri nordostindischen Manipur weist dagegen Einflüsse birmanischen Kulturkreis regionale Besonderheiten auf', ' Er Gruppe dargeboten'] ### Input: Im Hinduismus haben Tänze von jeher eine wichtige Rolle gespielt, einerseits als getanzte Version des Gebetes, andererseits um mythologische Themen darzustellen. So ist es nicht verwunderlich, dass sich in Indien eine ungeheure Vielfalt von klassischen Tänzen, die meist Züge des Schauspiels tragen, herausgebildet hat. Der Tanz ist eine der am höchsten entwickelten Kunstformen Indiens. Oft haben selbst kleinste Bewegungen und Gesichtsausdrücke eine sinnbildliche Bedeutung. Klassische Tänze beruhen in der Regel auf literarischen Grundlagen. Unter den klassischen Stilen ragt der Bharatanatyam hervor, ein im Ursprung tamilischer, heute aber in ganz Indien geschätzter Einzeltanz. Ihm ähnlich ist der aus Andhra Pradesh stammende Kuchipudi-Tanz, der jedoch mehr schauspielerische Bestandteile hat. Eine der ausdrucksstärksten Formen des Tanztheaters entstand in Kerala mit dem von Männern ausgeübten Kathakali. Mohiniyattam, ein Fraueneinzeltanz, stammt ebenfalls aus Kerala. Odissi ist der klassische Tempeltanz Odishas. Auch der nordindische Kathak war ursprünglich ein Tempeltanz, der aber unter den Mogulherrschern islamischen Einflüssen ausgesetzt war und sich zum höfischen Tanz entwickelte. Der Manipuri aus dem nordostindischen Manipur weist dagegen Einflüsse aus dem birmanischen Kulturkreis und regionale Besonderheiten auf. Er wird in der Gruppe dargeboten. EOS"
130,"Bos output: ['Im Fernsehen gibt öffentlich-rechtliche Sender Das Erste ZDF privat finanzierte Vollprogramme, RTL, Sat', '1, Pro7, RTL Zwei, Kabel eins VOX', ' In letzten Jahren viele regionale Sender Spartenprogramme hinzugekommen'] ### Input: Im Fernsehen gibt es öffentlich-rechtliche Sender wie Das Erste und ZDF und privat finanzierte Vollprogramme, vor allem RTL, Sat.1, Pro7, RTL Zwei, Kabel eins und VOX. In den letzten Jahren sind viele regionale Sender und Spartenprogramme hinzugekommen. EOS"
131,"Bos output: ['Derzeit bedeckt Wald Deutschland 32 Prozent Landfläche', ' Damit Deutschland waldreichsten Länder Europäischen Union', ' Die aktuelle Baumartenzusammensetzung entspricht geringen Teil natürlichen Gegebenheiten hauptsächlich Forstwirtschaft bestimmt', ' Die häufigsten Baumarten 26,0 Prozent Flächenanteil Gemeine Fichte, gefolgt Waldkiefer 22,9 Prozent, Rotbuche 15,8 Prozent Eichen 10,6 Prozent'] ### Input: Derzeit bedeckt der Wald in Deutschland 32 Prozent der Landfläche. Damit ist Deutschland eines der waldreichsten Länder in der Europäischen Union. Die aktuelle Baumartenzusammensetzung entspricht nur zum geringen Teil den natürlichen Gegebenheiten und wird hauptsächlich von der Forstwirtschaft bestimmt. Die häufigsten Baumarten sind mit 26,0 Prozent Flächenanteil die Gemeine Fichte, gefolgt von der Waldkiefer mit 22,9 Prozent, der Rotbuche mit 15,8 Prozent und den Eichen mit 10,6 Prozent. EOS"
132,"Bos output: ['Der Flughafen Frankfurt Main Passagieren größte Deutschlands, viertgrößte Europas gemessen Frachtaufkommen größte Flughafen Europas', ' Die größte deutsche Fluggesellschaft Lufthansa betreibt Frankfurt zweitgrößten deutschen Flughafen München interkontinentale Drehkreuze', ' Der Bund Länder Berlin Brandenburg alleinige Gesellschafter Flughafen Berlin Brandenburg GmbH, Flughafen Berlin Brandenburg „Willy Brandt“ betreibt'] ### Input: Der Flughafen Frankfurt Main ist nach Passagieren der größte Deutschlands, der viertgrößte Europas und gemessen am Frachtaufkommen der größte Flughafen Europas. Die größte deutsche Fluggesellschaft Lufthansa betreibt in Frankfurt und auf dem zweitgrößten deutschen Flughafen in München interkontinentale Drehkreuze. Der Bund und die Länder Berlin und Brandenburg sind alleinige Gesellschafter der Flughafen Berlin Brandenburg GmbH, die den Flughafen Berlin Brandenburg „Willy Brandt“ betreibt. EOS"
133,"Bos output: ['1986, Jahr Toshiba T1100, erschien IBM PC Convertible erste kommerziell erfolgreiche Notebook Taktfrequenz 4,77 MHz, zwei 3,5-Zoll-Floppy-Laufwerken, 256 kB Speicher, LC-Bildschirm Druckeranschlüssen', ' Noch Jahr 1987 kostete Toshiba T1100 zwei 3,5-Zoll-Floppy-Laufwerken LCD-Bildschirm Schweiz 3700 Franken, T3100 Plasmabildschirm, 640 kB Speicher Harddisk 10 Megabyte Doppelte'] ### Input: 1986, ein Jahr nach dem Toshiba T1100, erschien mit dem IBM PC Convertible das erste auch kommerziell erfolgreiche Notebook mit einer Taktfrequenz von 4,77 MHz, zwei 3,5-Zoll-Floppy-Laufwerken, 256 kB Speicher, einem LC-Bildschirm und Druckeranschlüssen. Noch im Jahr 1987 kostete der Toshiba T1100 mit zwei 3,5-Zoll-Floppy-Laufwerken und LCD-Bildschirm in der Schweiz um die 3700 Franken, der T3100 mit Plasmabildschirm, 640 kB Speicher und einer Harddisk von 10 Megabyte das Doppelte. EOS"
134,"Bos output: ['Nach ersten Angaben Statistischen Bundesamtes wuchs Handel Indien Deutschland ersten sieben Monaten Jahres 2006 deutlich', ' Deutschland importierte Waren Wert 2,4 Milliarden Euro, 30,5 % mehr gleichen Vorjahreszeitraum, exportierte Waren 3,3 Milliarden Euro, 39,7 % mehr ersten sieben Monaten 2005', ' Bis 2016 stieg gesamte Handelsvolumen 17,4 Milliarden Euro an, womit Indien Platz 24 wichtigsten Handelspartner Deutschlands steht'] ### Input: Nach ersten Angaben des Statistischen Bundesamtes wuchs der Handel zwischen Indien und Deutschland in den ersten sieben Monaten des Jahres 2006 noch einmal deutlich. Deutschland importierte Waren im Wert von 2,4 Milliarden Euro, 30,5 % mehr als im gleichen Vorjahreszeitraum, und exportierte Waren für 3,3 Milliarden Euro, 39,7 % mehr als in den ersten sieben Monaten 2005. Bis 2016 stieg das gesamte Handelsvolumen auf 17,4 Milliarden Euro an, womit Indien auf Platz 24 der wichtigsten Handelspartner Deutschlands steht. EOS"
135,"Bos output: ['Detaillierte, flächendeckende Daten seit 1953 Polizeilichen Kriminalstatistik erfasst', ' Einen Höhepunkt Straftaten insgesamt gab 1993', ' Bis 2021 Rate 27 Prozent gefallen', ' Die Rate Diebstähle sank 1993 2021 65 Prozent', ' Der Höhepunkt angezeigten Gewaltdelikten wurde jedoch nicht 1990er-Jahren, 2007 erreicht', ' Der Rückgang lag 2021 25 Prozent', ' Es steigenden Anzeigebereitschaft beziehungsweise verringernden Dunkelziffer ausgegangen, Gewalt Frauen'] ### Input: Detaillierte, flächendeckende Daten werden seit 1953 in der Polizeilichen Kriminalstatistik erfasst. Einen Höhepunkt der Straftaten insgesamt gab es 1993. Bis 2021 ist die Rate um 27 Prozent gefallen. Die Rate der Diebstähle sank von 1993 bis 2021 um 65 Prozent. Der Höhepunkt bei angezeigten Gewaltdelikten wurde jedoch nicht in den 1990er-Jahren, sondern 2007 erreicht. Der Rückgang lag hier bis 2021 bei 25 Prozent. Es wird von einer steigenden Anzeigebereitschaft beziehungsweise einer sich verringernden Dunkelziffer ausgegangen, vor allem bei Gewalt gegen Frauen. EOS"
136,"Bos output: ['Verbände, Religionsgemeinschaften, Gewerkschaften Arbeitgeberverbände bestimmten Themen stark Entscheidungsvorbereitung involviert', ' Die Mitarbeit Organisationen ermöglicht ähnlich Mitarbeit Parteien gewisse Beteiligungsmöglichkeiten', ' Direkter kommunalen Beteiligungsmöglichkeiten Anwohner Planungsverfahren Großprojekten'] ### Input: Verbände, Religionsgemeinschaften, Gewerkschaften und Arbeitgeberverbände sind bei bestimmten Themen stark in die Entscheidungsvorbereitung involviert. Die Mitarbeit in solchen Organisationen ermöglicht ähnlich wie die Mitarbeit in den Parteien gewisse Beteiligungsmöglichkeiten. Direkter sind die kommunalen Beteiligungsmöglichkeiten für Anwohner bei Planungsverfahren von Großprojekten. EOS"
137,"Bos output: ['Norddeutsche verwenden niederdeutsche Sprache regionale Mundarten tendenziell weniger ausgeprägt, mittel- oberdeutschen Raum Gebrauch fränkischen, bairischen alemannischen Mundarten akademischen Milieu verbreiteter ist'] ### Input: Norddeutsche verwenden die niederdeutsche Sprache oder regionale Mundarten tendenziell weniger ausgeprägt, während im mittel- und oberdeutschen Raum der Gebrauch der fränkischen, bairischen und alemannischen Mundarten selbst im akademischen Milieu verbreiteter ist. EOS"
138,"Bos output: ['Die indische Gesellschaft trotz verfassungsmäßiger Religionsfreiheit religiösen hierarchischen Kastensystem bestimmt', ' Die Abstand größte Religionsgruppe Hindus, gefolgt Muslimen, Christen historisch Indien stammenden Sikhs, Buddhisten Jaina', ' Das Entwicklungsprogramm Vereinten Nationen zählt Indien Ländern mittlerer menschlicher Entwicklung', ' Beim Ländervergleich Index menschlichen Entwicklung lag Indien Jahr 2021 Rang 132 191 weltweit', ' Wirtschaftlich gilt Indien Schwellenland', ' Es gehört O5- BRICS-Staaten Gruppe zwanzig wichtigsten Industrie- Schwellenländer ', ' Indien trotz niedrigen Pro-Kopf-Einkommens drittgrößte bzw', ' fünftgrößte Wirtschaftsmacht Welt 2015 erstmals schnellsten wachsende Volkswirtschaft G20-Gruppe'] ### Input: Die indische Gesellschaft wird trotz verfassungsmäßiger Religionsfreiheit vom religiösen hierarchischen Kastensystem bestimmt. Die mit Abstand größte Religionsgruppe sind die Hindus, gefolgt von Muslimen, Christen und den historisch aus Indien stammenden Sikhs, Buddhisten und Jaina. Das Entwicklungsprogramm der Vereinten Nationen zählt Indien zu den Ländern mit mittlerer menschlicher Entwicklung. Beim Ländervergleich des Index der menschlichen Entwicklung lag Indien im Jahr 2021 auf Rang 132 von 191 weltweit. Wirtschaftlich gilt Indien als Schwellenland. Es gehört zu den O5- und BRICS-Staaten und der Gruppe der zwanzig wichtigsten Industrie- und Schwellenländer . Indien ist trotz seines niedrigen Pro-Kopf-Einkommens die drittgrößte bzw. fünftgrößte Wirtschaftsmacht der Welt und war 2015 erstmals die am schnellsten wachsende Volkswirtschaft der G20-Gruppe. EOS"
